rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
319	yuma_az	Yuma	Western Corridor	Western Corridor evacuation chain depot	Desert Solar Grid	Yuma Signal Spire	Desert Solar Grid with linked evacuation posts around Yuma Signal Spire, signature 319	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
320	burbank_ca	Burbank	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Burbank Rescue Arch	Coastal Port with halved search vault around Burbank Rescue Arch, signature 320	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
321	lynn_ma	Lynn	Northeast Relay	Northeast Relay triage routing depot	African Urban Relay	Lynn Data Beacon	African Urban Relay with triage conveyor lanes around Lynn Data Beacon, signature 321	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
322	quincy_ma	Quincy	Northeast Relay	Northeast Relay drone beacon yard	African Urban Relay	Quincy Command Obelisk	African Urban Relay with timed beacon pylons around Quincy Command Obelisk, signature 322	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
323	el_cajon_ca	El Cajon	Western Corridor	Western Corridor mirror-code archive	Coastal Port	El Cajon Relay Bridge	Coastal Port with mirrored plaza around El Cajon Relay Bridge, signature 323	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
324	fayetteville_ar	Fayetteville	Southern Evac Line	Southern Evac Line sorted supply-cache vault	Latin Metro	Fayetteville Power Crown	Latin Metro with halved search vault around Fayetteville Power Crown, signature 324	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
325	suffolk_va	Suffolk	Southern Evac Line	Southern Evac Line evacuation chain depot	Coastal Port	Suffolk Signal Spire	Coastal Port with linked evacuation posts around Suffolk Signal Spire, signature 325	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
326	san_mateo_ca	San Mateo	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	San Mateo Rescue Arch	Coastal Port with halved search vault around San Mateo Rescue Arch, signature 326	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
327	chico_ca	Chico	Western Corridor	Western Corridor triage routing depot	Coastal Port	Chico Data Beacon	Coastal Port with triage conveyor lanes around Chico Data Beacon, signature 327	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
328	inglewood_ca	Inglewood	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Inglewood Command Obelisk	Coastal Port with timed beacon pylons around Inglewood Command Obelisk, signature 328	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
329	wichita_falls_tx	Wichita Falls	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Wichita Falls Relay Bridge	Desert Solar Grid with mirrored plaza around Wichita Falls Relay Bridge, signature 329	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
330	boca_raton_fl	Boca Raton	Southern Evac Line	Southern Evac Line sorted supply-cache vault	Coastal Port	Boca Raton Power Crown	Coastal Port with halved search vault around Boca Raton Power Crown, signature 330	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
331	hesperia_ca	Hesperia	Western Corridor	Western Corridor evacuation chain depot	Coastal Port	Hesperia Signal Spire	Coastal Port with linked evacuation posts around Hesperia Signal Spire, signature 331	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
332	daly_city_ca	Daly City	Western Corridor	Western Corridor sorted supply-cache vault	Coastal Port	Daly City Rescue Arch	Coastal Port with halved search vault around Daly City Rescue Arch, signature 332	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
333	georgetown_tx	Georgetown	Southern Evac Line	Southern Evac Line triage routing depot	Desert Solar Grid	Georgetown Data Beacon	Desert Solar Grid with triage conveyor lanes around Georgetown Data Beacon, signature 333	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
334	new_bedford_ma	New Bedford	Northeast Relay	Northeast Relay drone beacon yard	African Urban Relay	New Bedford Command Obelisk	African Urban Relay with timed beacon pylons around New Bedford Command Obelisk, signature 334	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
335	albany_ny	Albany	Northeast Relay	Northeast Relay mirror-code archive	Coastal Port	Albany Relay Bridge	Coastal Port with mirrored plaza around Albany Relay Bridge, signature 335	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
336	davenport_ia	Davenport	Midwest Grid	Midwest Grid sorted supply-cache vault	River Lockworks	Davenport Power Crown	River Lockworks with halved search vault around Davenport Power Crown, signature 336	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
337	plantation_fl	Plantation	Southern Evac Line	Southern Evac Line evacuation chain depot	Coastal Port	Plantation Signal Spire	Coastal Port with linked evacuation posts around Plantation Signal Spire, signature 337	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
338	deltona_fl	Deltona	Southern Evac Line	Southern Evac Line sorted supply-cache vault	Coastal Port	Deltona Rescue Arch	Coastal Port with halved search vault around Deltona Rescue Arch, signature 338	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
339	federal_way_wa	Federal Way	Western Corridor	Western Corridor triage routing depot	Coastal Port	Federal Way Data Beacon	Coastal Port with triage conveyor lanes around Federal Way Data Beacon, signature 339	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
340	san_angelo_tx	San Angelo	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	San Angelo Command Obelisk	Desert Solar Grid with timed beacon pylons around San Angelo Command Obelisk, signature 340	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
